HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-194.5226473000,-194.5226472999,-194.5226472999,-195.8656134535,-195.8656134535,-195.8656134535
-231.5353672881,-231.5353672881,-231.5353672881,-233.0056898708,-233.0056898708,-233.0056898708
-344.2679832100,-344.2679832100,-344.2679832099,-346.3389031291,-346.3389031293,-346.3389031292
-155.4766754511,-155.4766754512,-155.4766754512,-156.5477461793,-156.5477461793,-156.5477461793
-384.3713576986,-384.3713576990,-384.3713576990,-386.7673495110,-386.7673495100,-386.7673495106
-273.7839795577,-273.7839795579,-273.7839795578,-275.7239481184,-275.7239481181,-275.7239481182
-383.3157308576,-383.3157308576,-383.3157308576,-385.6560899686,-385.6560899688,-385.6560899687
-270.5627554126,-270.5627554125,-270.5627554123,-272.3079359489,-272.3079359487,-272.3079359488
-311.6420168406,-311.6420168406,-311.6420168406,-313.8185838264,-313.8185838265,-313.8185838264
-383.3214382348,-383.3214382348,-383.3214382348,-385.6515490237,-385.6515490237,-385.6515490237
-155.3931699127,-155.3926750078,-155.3926750078,-156.4316020385,-156.4316020383,-156.4316020385
-305.2172157012,-305.2172157012,-305.2172157011,-306.9983828536,-306.9983828536,-306.9983828535
-305.1261409899,-305.1261409901,-305.1261409900,-306.9335981553,-306.9335981556,-306.9335981554
-309.5752736937,-309.5752736936,-309.5752736937,-311.5905097790,-311.5905097790,-311.5905097790
-273.7780401015,-273.7780401015,-273.7780401013,-275.7185643101,-275.7185643101,-275.7185643101
-269.3765805616,-269.3804071041,-269.3804071041,-271.0797045894,-271.0797045895,-271.0797045891
-230.3363277619,-230.3401520243,-230.3401520243,-231.7599953802,-231.7599953801,-231.7599953801
-234.7462516377,-234.7462516376,-234.7462516374,-236.4100948188,-236.4100948187,-236.4100948186
-269.3269434502,-269.3269434502,-269.3269434498,-270.9855560812,-270.9855560815,-270.9855560814
-272.6027665096,-272.6027665095,-272.6027665096,-274.5000911053,-274.5000911052,-274.5000911046
-384.3711790498,-384.3711790499,-384.3711790498,-386.7675950295,-386.7675950295,-386.7675950289
-384.3710636993,-384.3710636997,-384.3710636995,-386.7682103370,-386.7682103371,-386.7682103369
-344.1928123137,-344.1928123144,-344.1928123144,-346.2767612790,-346.2767612789,-346.2767612791
-269.3767636049,-269.3805498263,-269.3805498267,-271.0798243856,-271.0798243856,-271.0798243854
-269.4264627516,-269.4264627516,-269.4264627516,-271.1279970778,-271.1279970778,-271.1279970778
-269.4271425783,-269.4271425783,-269.4271425783,-271.1287118647,-271.1287118648,-271.1287118648
-344.2547431987,-344.2547432107,-344.2547432107,-346.3137134525,-346.3137134525,-346.3137134523
-270.5227254459,-270.5227254682,-270.5227254681,-272.2643866561,-272.2643866554,-272.2643866560
-233.5951149713,-233.5951149714,-233.5951149713,-235.2183186556,-235.2183186557,-235.2183186556
-347.4967933545,-347.4967933546,-347.4967933545,-349.7517000708,-349.7517000707,-349.7517000708
-267.2564368319,-267.2564368319,-267.2564368318,-268.8213871131,-268.8213871129,-268.8213871128
-305.2492903583,-305.2492903581,-305.2492903581,-307.0350466518,-307.0350466512,-307.0350466517
-273.7782017877,-273.7782017877,-273.7782017875,-275.7192229725,-275.7192229726,-275.7192229725
-156.6772404342,-156.6772404343,-156.6772404341,-157.7856081169,-157.7856081167,-157.7856081169
-308.3875497174,-308.3875497175,-308.3875497175,-310.3809849744,-310.3809849742,-310.3809849742
-156.6811863334,-156.6811863333,-156.6811863332,-157.7912335356,-157.7912335357,-157.7912335356
-309.5650172963,-309.5650172965,-309.5650172962,-311.5849403831,-311.5849403826,-311.5849403831
-344.1985891652,-344.1985891651,-344.1985891651,-346.1957128857,-346.2028132679,-346.2028132683
-270.5728747344,-270.5728747342,-270.5728747344,-272.3187895133,-272.3187895134,-272.3187895132
-345.3370050932,-345.3370050934,-345.3370050933,-347.4559656567,-347.4559656566,-347.4559656567
-311.6425577880,-311.6425577972,-311.6425577881,-313.8186644726,-313.8186644725,-313.8186644719
-348.6454918390,-348.6454918389,-348.6454918389,-350.9506470257,-350.9506470256,-350.9506470256
-192.5041471757,-192.5073060922,-192.5073060833,-193.6823018590,-193.6865801986,-193.6865801838
-348.6354241515,-348.6354241515,-348.6354241514,-350.9413673987,-350.9413673988,-350.9413673986
-270.5669961737,-270.5669961736,-270.5669961734,-272.3128438010,-272.3128437824,-272.3128438009
-230.3850116990,-230.3850116990,-230.3850116991,-231.8171734395,-231.8171734395,-231.8171734392
-309.6073853939,-309.6073853940,-309.6073853939,-311.6360021139,-311.6360021139,-311.6360021139
-309.6104850633,-309.6104850632,-309.6104850633,-311.6329591480,-311.6329591480,-311.6329591480
-309.5904735906,-309.5904735906,-309.5904735906,-311.6141388784,-311.6141388783,-311.6141388783
-309.5868637002,-309.5868637001,-309.5868636999,-311.6105631892,-311.6105631891,-311.6105631891
-270.5746181480,-270.5746181481,-270.5746181480,-272.3221087403,-272.3221087402,-272.3221087402
-308.4120419249,-308.4120419250,-308.4120419249,-310.3951408632,-310.3951408630,-310.3951408629
-383.3004382778,-383.3004382778,-383.3004382777,-385.6485564680,-385.6485564681,-385.6485564680
-308.4627848042,-308.4627848042,-308.4627848041,-310.4426607155,-310.4426607155,-310.4426607154
-309.5979099360,-309.5979099359,-309.5979099360,-311.6215367273,-311.6215367275,-311.6215367274
-312.7953025377,-312.7953025377,-312.7953025377,-315.0121277066,-315.0121277067,-315.0121277069
-270.4816192420,-270.4816192421,-270.4816192420,-272.1776299370,-272.1776299367,-272.1776299370
-269.2046781415,-269.2046781415,-269.2046781415,-270.9845814055,-270.9845814047,-270.9845814054
-270.5771284658,-270.5771284655,-270.5771284656,-272.3120021861,-272.3120021861,-272.3120021860
-234.7462582390,-234.7462582390,-234.7462582388,-236.4100974176,-236.4100974175,-236.4100974174
-231.5217777357,-231.5217777356,-231.5217777353,-232.9909070037,-232.9909070037,-232.9909070037
-383.3273809137,-383.3273809136,-383.3273809137,-385.6661532989,-385.6661532990,-385.6661532989
-233.5951147611,-233.5951147612,-233.5951147612,-235.2183182897,-235.2183182897,-235.2183182896
-345.3553164751,-345.3553164752,-345.3553164751,-347.4791690386,-347.4791690389,-347.4791690391
-383.3376413165,-383.3376413166,-383.3376413165,-385.6751234485,-385.6751234486,-385.6751234485
-347.4231261455,-347.4231261455,-347.4231261455,-349.6938065033,-349.6938065033,-349.6938065032
-309.5950745272,-309.5950745273,-309.5950745272,-311.6172244318,-311.6172244317,-311.6172244318
-347.4972920047,-347.4972920047,-347.4972920047,-349.7533844026,-349.7533844028,-349.7533844019
-270.5708747327,-270.5708747328,-270.5708747327,-272.3223817099,-272.3223817080,-272.3223817099
-155.4876246040,-155.4876246041,-155.4876246040,-156.5528342407,-156.5528342408,-156.5528342406
-348.5983915793,-348.5983915958,-348.5983915958,-350.8943261103,-350.8943261084,-350.8943261103
