HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-232.7500546987,-232.7500546988,-232.7500546987,-234.4137460554,-234.4137460554,-234.4137460555
-344.4446749205,-344.4446749199,-344.4446749198,-346.6405526043,-346.6405526042,-346.6405526042
-230.8360783854,-230.8360783855,-230.8360783854,-232.3260859880,-232.3260859880,-232.3260859878
-419.4038484273,-419.4038484272,-419.4038484271,-421.9355740918,-421.9355740920,-421.9355740920
-270.8223776571,-270.8223776571,-270.8223776572,-272.6860407699,-272.6860407698,-272.6860407695
-269.8300208484,-269.8300208484,-269.8300208483,-271.6110754225,-271.6110754225,-271.6110754225
-310.0226956463,-310.0226956463,-310.0226956462,-312.1238584106,-312.1238584105,-312.1238584105
-155.7931962065,-155.7931962065,-155.7931962065,-156.9410025578,-156.9410025575,-156.9410025577
-383.6030695962,-383.6030695962,-383.6030695962,-386.0376744130,-386.0376744132,-386.0376744131
-231.7842911911,-231.7842911912,-231.7842911912,-233.3703283608,-233.3703283606,-233.3703283607
-302.3310892556,-302.3310892557,-302.3310892557,-303.9929109894,-303.9929109893,-303.9929109893
-269.7403629225,-269.7403629225,-269.7403629225,-271.5425615341,-271.5425615342,-271.5425615340
-311.9757311339,-311.9757311339,-311.9757311339,-314.2395236137,-314.2395236114,-314.2395236137
-233.8732347548,-233.8732347548,-233.8732347547,-235.5785494394,-235.5785494396,-235.5785494395
-233.8302874320,-233.8302874320,-233.8302874320,-235.5383523727,-235.5383523727,-235.5383523726
-347.7311357357,-347.7311357358,-347.7311357357,-350.0756033622,-350.0756033623,-350.0756033623
-380.4780874178,-380.4780874187,-380.4780874185,-382.7074816230,-382.7074816276,-382.7074816280
-268.6397734650,-268.6397734650,-268.6397734650,-270.3830686259,-270.3830686256,-270.3830686258
-419.4540907390,-419.4540907388,-419.4540907390,-421.9737461787,-421.9737461790,-421.9737461789
-344.7254138209,-344.7254138209,-344.7254138210,-346.8630242191,-346.8630242189,-346.8630242191
-154.7393718035,-154.7393718034,-154.7393718034,-155.8371964393,-155.8371964389,-155.8371964396
-232.6331465003,-232.6331465002,-232.6331465003,-234.2983949053,-234.2983949055,-234.2983949054
-270.9423963779,-270.9423963780,-270.9423963779,-272.7730317979,-272.7730317833,-272.7730317978
-419.3894485922,-419.3894485921,-419.3894485922,-421.9076644989,-421.9076644989,-421.9076644989
-270.9595791288,-270.9595791288,-270.9595791288,-272.7802232583,-272.7802232577,-272.7802232583
-349.0737881306,-349.0737881306,-349.0737881306,-351.4470212474,-351.4470212474,-351.4470212474
-230.7924020487,-230.7924020486,-230.7924020486,-232.3014246101,-232.3014246101,-232.3014246099
-268.5874792081,-268.5874792080,-268.5874792081,-270.3828800130,-270.3828800129,-270.3828800128
-309.9607138842,-309.9607138842,-309.9607138841,-312.0503131106,-312.0503131106,-312.0503131106
-270.9172849288,-270.9172849288,-270.9172849287,-272.7267761470,-272.7267761471,-272.7267761468
