HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-345.1966281645,-345.1966281646,-345.1966281643,-347.3540506506,-347.3540506504,-347.3540506505
-383.2748378684,-383.2748378684,-383.2748378683,-385.6311472725,-385.6311472723,-385.6311472721
-347.2661475848,-347.2661475849,-347.2661475847,-349.5602639671,-349.5602639671,-349.5602639671
-309.4609923822,-309.4609923821,-309.4609923821,-311.5124806018,-311.5124806017,-311.5124806016
-347.3123068389,-347.3128011972,-347.3128011971,-349.6209654979,-349.6209654979,-349.6209654970
-270.4029909411,-270.4029909411,-270.4029909411,-272.1871991565,-272.1871991567,-272.1871991565
-155.3226588191,-155.3226588191,-155.3226588190,-156.3985283360,-156.3985283360,-156.3985283358
-348.5016616573,-348.5016616574,-348.5016616573,-350.8206502968,-350.8206502966,-350.8206502969
-269.3475384228,-269.3475384228,-269.3475384228,-271.0592290530,-271.0592290528,-271.0592290527
-273.5030065906,-273.5030065904,-273.5030065906,-275.4927118610,-275.4927118612,-275.4927118613
-269.3366048651,-269.3377175719,-269.3377175719,-271.0791700835,-271.0791700835,-271.0791700829
-194.4375923993,-194.4375923993,-194.4375923993,-195.7973250701,-195.7973250700,-195.7973250699
-309.4925895800,-309.4925895799,-309.4925895800,-311.5340147045,-311.5340147045,-311.5340147044
-231.3779279981,-231.3779279981,-231.3779279980,-232.8779373921,-232.8779373920,-232.8779373918
-348.5013214650,-348.5013214651,-348.5013214651,-350.8243579180,-350.8243579179,-350.8243579180
-269.1876639650,-269.1895304956,-269.1895304956,-270.9283058413,-270.9283058414,-270.9283058413
-192.3177745084,-192.3177745083,-192.3177745083,-193.5411124990,-193.5411124990,-193.5411124988
-383.1073626890,-383.1073626888,-383.1073626885,-385.4749382896,-385.4749382896,-385.4749382887
-156.5615143827,-156.5615143828,-156.5615143828,-157.6805466457,-157.6805466455,-157.6805466456
-305.0492854842,-305.0492854843,-305.0492854842,-306.8904611855,-306.8904611855,-306.8904611851
-156.5350055602,-156.5350055604,-156.5350055603,-157.6773351966,-157.6773351966,-157.6773351965
-309.4588903203,-309.4588903205,-309.4588903204,-311.5150905588,-311.5150905588,-311.5150905590
-344.2175555991,-344.2175555991,-344.2175555991,-346.2986473233,-346.2986473233,-346.2986473228
-117.3843818274,-117.3843818277,-117.3843818278,-118.2286136572,-118.2286136572,-118.2286136570
-312.7087509269,-312.7087509270,-312.7087509270,-314.9367755111,-314.9367755108,-314.9367755108
-348.4835669117,-348.4835669118,-348.4835669117,-350.8256132141,-350.8256132141,-350.8256132140
-311.5258521370,-311.5258521369,-311.5258521370,-313.7249001348,-313.7249001348,-313.7249001347
-348.5144064331,-348.5144064332,-348.5144064332,-350.8539900090,-350.8539900090,-350.8539900089
-117.5053169492,-117.5053169493,-117.5053169493,-118.3634760420,-118.3634760420,-118.3634760420
-348.5236516099,-348.5236516100,-348.5236516099,-350.8566308686,-350.8566308687,-350.8566308687
-195.6050358428,-195.6050358427,-195.6050358426,-197.0064376411,-197.0064376411,-197.0064376411
-194.2982151016,-194.2982151017,-194.2982151014,-195.6864289330,-195.6864289330,-195.6864289329
-348.4741144274,-348.4741144273,-348.4741144272,-350.8180291037,-350.8180290902,-350.8180291037
-312.6861925247,-312.6861925246,-312.6861925247,-314.9403251242,-314.9403251242,-314.9403251240
-383.1078206162,-383.1078206162,-383.1078206162,-385.4885356956,-385.4885356956,-385.4885356954
-155.3848295790,-155.3848295791,-155.3848295790,-156.4700491953,-156.4700491954,-156.4700491952
-347.2062094274,-347.2062094273,-347.2062094274,-349.4810407718,-349.4810407720,-349.4810407719
-308.2255015099,-308.2255015101,-308.2255015099,-310.2503808989,-310.2503808991,-310.2503808989
-382.9492946713,-382.9825223438,-382.9825223435,-385.3349385522,-385.3351515570,-385.3351515578
